track_id,track_name,artists_name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo
5DnT9a5IM3eMjKgXTWVJvi,Have You Ever Seen The Rain,Creedence Clearwater Revival,0.89,1970,0.0936,0.743,160333,0.47,0,3.15E-05,0,0.186,-13.154,1,71,25909,0.029,116.122
2eF8pWbiivYsYRpbntYsnc,"Signed, Sealed, Delivered (Im Yours)",Stevie Wonder,0.828,1970,0.0534,0.675,161160,0.597,0,0,5,0.0986,-11.329,1,77,25787,0.0337,108.875
2QpN1ZVw8eJO5f7WcvUA1k,Santa Claus Is Coming To Town,The Jackson 5,0.961,1970,0.424,0.692,144013,0.762,0,1.27E-05,0,0.181,-4.867,1,75,25856,0.0342,146.673
3lh3iiiJeiBXHSZw6u0kh6,Into the Mystic - 2013 Remaster,Van Morrison,0.797,1970,0.367,0.608,205613,0.524,0,0.00254,8,0.115,-10.266,1,74,1970-02,0.0309,86.204
1oht5GevPN9t1T3kG1m1GO,Fire and Rain - 2019 Remaster,James Taylor,0.338,1970,0.766,0.597,203613,0.271,0,0.0119,5,0.0933,-17.293,1,74,25600,0.0394,76.271
78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,Led Zeppelin,0.619,1970,0.013,0.564,146250,0.932,0,0.169,11,0.349,-10.068,1,77,1970,0.0554,112.937
15sxLiiChE5dCW3Y756oas,I Saw Mommy Kissing Santa Claus,The Jackson 5,0.614,1970,0.263,0.583,181267,0.712,0,1.02E-06,3,0.817,-8.222,1,73,25856,0.0538,128.897
7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,The Beatles,0.41,1970,0.631,0.443,243027,0.403,0,0,0,0.111,-8.339,1,78,25696,0.0322,143.462
38zsOOcu31XbbYj9BIPUF1,Your Song,Elton John,0.325,1970,0.828,0.554,241787,0.315,0,5.53E-06,3,0.101,-11.028,1,77,25668,0.0298,128.157
1Y373MqadDRtclJNdnUXVc,Paranoid - 2012 - Remaster,Black Sabbath,0.454,1970,4.52E-05,0.412,168406,0.658,0,0.000774,4,0.176,-12.051,0,69,25829,0.0708,163.071
1hHGUdFaiJHw9hVZGJWYO2,Midnight Rider,Allman Brothers Band,0.68,1970,0.209,0.585,180067,0.532,0,0.00797,7,0.227,-9.673,1,70,25829,0.0268,94.461
6QhXQOpyYvbpdbyjgAqKdY,Cecilia,Simon & Garfunkel,0.954,1970,0.357,0.755,174827,0.876,0,5.17E-06,0,0.22,-8.867,1,74,25594,0.0362,102.762
6Xz7FeyE8HTP90HecgHV57,Wild World,Yusuf / Cat Stevens,0.554,1970,0.376,0.484,200173,0.508,0,0.000791,0,0.0961,-9.308,1,77,25895,0.0364,151.867
0qdQUeKVyevrbKhAo0ibxS,My Sweet Lord - Remastered 2014,George Harrison,0.583,1970,0.0972,0.537,281227,0.701,0,0,1,0.0832,-8.913,0,76,25899,0.0335,120.919
2kkvB3RNRzwjFdGhaUA0tz,Layla,Derek & The Dominos,0.497,1970,0.577,0.404,423840,0.902,0,0.297,1,0.287,-3.88,1,74,25873,0.0665,115.669
4vO9dmzNRqDhFY3jD1a3P7,Mississippi Queen,Mountain,0.637,1970,0.0987,0.581,151293,0.624,0,0,9,0.0411,-8.346,1,69,1970,0.0777,139.714
2ymeOsYijJz09LfKw3yM2x,Joy To The World,Three Dog Night,0.971,1970,0.464,0.649,220573,0.679,0,0.00121,2,0.339,-12.515,1,66,25569,0.0316,126.867
3IOQZRcEkplCXg6LofKqE9,Iron Man - 2012 - Remaster,Black Sabbath,0.427,1970,0.00351,0.336,355304,0.792,0,0.00175,9,0.0437,-10.875,1,66,25829,0.084,155.587
2rd9ETlulTbz6BYZcdvIE1,War Pigs / Lukes Wall - 2012 - Remaster,Black Sabbath,0.413,1970,0.222,0.332,474360,0.623,0,0.000895,9,0.278,-12.363,1,65,25829,0.08,183.097
6UkMcAA19lTdjs22jtB7o2,Big Yellow Taxi,Joni Mitchell,0.97,1970,0.579,0.611,134800,0.47,0,0,4,0.581,-9.135,1,71,25628,0.0356,85.527
0UAJH0k4k3slcE83a9UGCe,Lola - Coca Cola Version,The Kinks,0.902,1970,0.582,0.474,241040,0.917,0,0.231,9,0.201,-4.19,1,70,25899,0.0395,152.113
36gPq8WG7tDxrblyGVUCiT,Up Around The Bend,Creedence Clearwater Revival,0.813,1970,0.0606,0.589,161467,0.85,0,0.779,2,0.274,-6.143,1,70,25774,0.0343,130.318
2hitsKa8SthKhRJBXUHbIv,Our House,"Crosby, Stills, Nash & Young",0.377,1970,0.896,0.593,179760,0.205,0,5.46E-05,9,0.119,-14.601,1,69,25638,0.0479,140.279
683b4ikwa62JevCjwrmfg6,Moondance - 2013 Remaster,Van Morrison,0.563,1970,0.501,0.606,274040,0.282,0,8.30E-06,9,0.152,-12.207,0,69,1970-02,0.0339,67.409
1gcESexgftSuLuML57Y69q,All Right Now,Free,0.824,1970,0.221,0.787,330643,0.472,0,0.000336,2,0.153,-12.824,1,70,25745,0.0832,120.059
6wDviYDtmSDZ0S6TVMM9Vc,ABC,The Jackson 5,0.947,1970,0.486,0.715,177733,0.678,0,0.000192,8,0.15,-11.842,1,64,25696,0.0475,94.769
5ZLzl6T8JwqMTMdoE0nCbU,Friend of the Devil,Grateful Dead,0.893,1970,0.334,0.642,201867,0.628,0,8.29E-06,7,0.614,-12.849,1,64,25720,0.0358,103.317
7LbfuQVct78YoghmoPtsQ8,Casey Jones - 2013 Remaster,Grateful Dead,0.828,1970,0.385,0.671,265067,0.405,0,0,0,0.132,-10.052,1,65,1970,0.0392,99.678
19slC7k8bsPOAKDjHYLU2W,Father And Son,Yusuf / Cat Stevens,0.395,1970,0.589,0.499,221000,0.33,0,4.21E-05,7,0.102,-11.467,1,74,25895,0.0348,135.993
7hxZF4jETnE5Q75rKQnMjE,I Walk the Line,Johnny Cash,0.56,1970,0.877,0.713,176533,0.258,0,0.00606,9,0.0967,-14.59,1,68,25883,0.0384,98.805
1Qa0Y05al633fG8f9Peytc,Maybe I’m Amazed - Remastered 2011,Paul McCartney,0.373,1970,0.387,0.471,229827,0.494,0,0.0944,7,0.617,-10.407,1,67,25675,0.0312,79.255
7GqIDx2QVGOpd4r1fZaUUW,25 or 6 to 4 - 2002 Remaster,Chicago,0.723,1970,0.309,0.604,289800,0.905,0,0.0632,4,0.0837,-7.059,0,65,25594,0.0578,147.448
6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Simon & Garfunkel,0.264,1970,0.822,0.149,293120,0.206,0,0.000649,3,0.115,-13.888,1,72,25594,0.0323,79.764
2hjAc6x8EoSLhGxRNg8KEw,Crazy Love - 2013 Remaster,Van Morrison,0.334,1970,0.841,0.575,155453,0.188,0,4.37E-05,9,0.228,-18.758,1,66,1970-02,0.0959,77.464
76TpWFiK5YCgw1hy26DWZp,What Is Life - Remastered 2014,George Harrison,0.884,1970,0.00654,0.468,264413,0.833,0,0.000332,4,0.326,-5.847,1,67,25899,0.0324,131.248
0i19MAZbyn8uTir7FprXId,Oh! Sweet Nuthin - 2015 Remaster,The Velvet Underground,0.525,1970,0.303,0.399,445187,0.467,0,0.0186,5,0.124,-11.763,1,68,1970,0.0284,75.601
76TZCvJ8GitQ2FA1q5dKu0,The Boxer,Simon & Garfunkel,0.629,1970,0.702,0.439,308520,0.488,0,0.000339,11,0.16,-14.464,1,71,25594,0.0615,93.017
3RTUfvRgq3pYTf7XY0FIcS,Lookin Out My Back Door,Creedence Clearwater Revival,0.858,1970,0.188,0.745,152453,0.656,0,0.00337,10,0.0941,-6.393,1,68,25774,0.0405,105.318
3LQPTJEqOfljGBxmpgUnoC,American Woman,The Guess Who,0.37,1970,0.146,0.55,307493,0.726,0,0.00608,2,0.428,-8.51,1,64,25569,0.0516,92.697
1OE5l6sedVcIFELMuxQOPI,Ripple - 2013 Remaster,Grateful Dead,0.675,1970,0.427,0.604,249734,0.411,0,5.74E-05,7,0.602,-14.258,1,61,25720,0.034,126.637
1Q5kgpp4pmyGqPwNBzkSrw,Roadhouse Blues,The Doors,0.895,1970,0.336,0.623,243827,0.633,0,4.60E-05,9,0.147,-8.212,1,71,25608,0.0304,121.119
6J0AjzrYsPZrQtw6IjErhy,Run Through The Jungle,Creedence Clearwater Revival,0.854,1970,0.0474,0.641,184747,0.612,0,0.0588,2,0.102,-8.307,1,67,25774,0.0361,136.413
5u6y4u5EgDv0peILf60H5t,Oye Como Va,Santana,0.948,1970,0.301,0.736,256933,0.379,0,0.345,7,0.104,-13.208,1,66,25834,0.0539,128.399
5RdhBLmB4DyFHLglRrfx63,Ill Be There,The Jackson 5,0.331,1970,0.593,0.51,237760,0.515,0,1.24E-06,5,0.654,-7.247,1,67,25819,0.0253,93.212
4dkoqJrP0L8FXftrMZongF,Across The Universe - Remastered 2009,The Beatles,0.858,1970,0.361,0.257,228133,0.412,0,8.68E-05,1,0.0702,-11.788,1,66,25696,0.0287,152.126
29HaKOpeLSYvqdFyEQSRdj,Teach Your Children,"Crosby, Stills, Nash & Young",0.667,1970,0.643,0.497,173467,0.285,0,1.66E-05,2,0.389,-14.537,1,64,25638,0.0264,154.7
3cw3Z7mS55gd3NUjh4k0bL,Sweet Jane - Full Length Version; 2015 Remaster,The Velvet Underground,0.936,1970,0.015,0.619,246307,0.637,0,0,2,0.374,-7.369,1,64,1970,0.0286,105.205
0MHXrqn909p0LRTPsNsGEi,Move on Up,Curtis Mayfield,0.928,1970,0.417,0.538,165790,0.969,0,0.00154,11,0.119,-5.626,0,70,1970,0.0906,138.652
5MbXzXGbqobR8xPVPs8OXA,The Only Living Boy in New York,Simon & Garfunkel,0.524,1970,0.13,0.411,238413,0.381,0,0.257,11,0.132,-12.361,1,66,25594,0.0286,76.963
7wWw7hBmErNg9u5w6Xx0vy,Make It with You,Bread,0.472,1970,0.66,0.629,192200,0.356,0,0.000617,4,0.173,-11.135,1,66,1970,0.0246,83.886
3n5iUh2Z6P7cnWins22W0F,And It Stoned Me - 2013 Remaster,Van Morrison,0.597,1970,0.35,0.593,272160,0.468,0,3.52E-05,7,0.0919,-11.165,1,63,1970-02,0.0285,75.798
6vmAgl2y9MpoZKrVUXrPe5,Hello Darlin,Conway Twitty,0.472,1970,0.94,0.276,149133,0.235,0,1.01E-05,0,0.132,-14.352,1,60,25650,0.0315,170.55
3Bh6uInhcVBVvLraGZdkKD,Wholl Stop The Rain,Creedence Clearwater Revival,0.622,1970,0.0424,0.598,147493,0.797,0,0.000407,7,0.0717,-6.793,1,67,25774,0.0332,123.566
