track_name,artists_name,year,acousticness,danceability,energy,loudness,tempo,valence
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,0.0936,0.743,0.47,-13.154,116.122,0.89
"Signed, Sealed, Delivered (Im Yours)",Stevie Wonder,1970,0.0534,0.675,0.597,-11.329,108.875,0.828
Santa Claus Is Coming To Town,The Jackson 5,1970,0.424,0.692,0.762,-4.867,146.673,0.961
Into the Mystic - 2013 Remaster,Van Morrison,1970,0.367,0.608,0.524,-10.266,86.204,0.797
Fire and Rain - 2019 Remaster,James Taylor,1970,0.766,0.597,0.271,-17.293,76.271,0.338
Immigrant Song - Remaster,Led Zeppelin,1970,0.013,0.564,0.932,-10.068,112.937,0.619
I Saw Mommy Kissing Santa Claus,The Jackson 5,1970,0.263,0.583,0.712,-8.222,128.897,0.614
Let It Be - Remastered 2009,The Beatles,1970,0.631,0.443,0.403,-8.339,143.462,0.41
Your Song,Elton John,1970,0.828,0.554,0.315,-11.028,128.157,0.325
Paranoid - 2012 - Remaster,Black Sabbath,1970,4.52e-05,0.412,0.658,-12.051,163.071,0.454
Midnight Rider,Allman Brothers Band,1970,0.209,0.585,0.532,-9.673,94.461,0.68
Cecilia,Simon & Garfunkel,1970,0.357,0.755,0.876,-8.867,102.762,0.954
Wild World,Yusuf / Cat Stevens,1970,0.376,0.484,0.508,-9.308,151.867,0.554
My Sweet Lord - Remastered 2014,George Harrison,1970,0.0972,0.537,0.701,-8.913,120.919,0.583
Layla,Derek & The Dominos,1970,0.577,0.404,0.902,-3.88,115.669,0.497
Mississippi Queen,Mountain,1970,0.0987,0.581,0.624,-8.346,139.714,0.637
Joy To The World,Three Dog Night,1970,0.464,0.649,0.679,-12.515,126.867,0.971
Iron Man - 2012 - Remaster,Black Sabbath,1970,0.00351,0.336,0.792,-10.875,155.587,0.427
War Pigs / Lukes Wall - 2012 - Remaster,Black Sabbath,1970,0.222,0.332,0.623,-12.363,183.097,0.413
Big Yellow Taxi,Joni Mitchell,1970,0.579,0.611,0.47,-9.135,85.527,0.97
Lola - Coca Cola Version,The Kinks,1970,0.582,0.474,0.917,-4.19,152.113,0.902
Up Around The Bend,Creedence Clearwater Revival,1970,0.0606,0.589,0.85,-6.143,130.318,0.813
Our House,"Crosby, Stills, Nash & Young",1970,0.896,0.593,0.205,-14.601,140.279,0.377
Moondance - 2013 Remaster,Van Morrison,1970,0.501,0.606,0.282,-12.207,67.409,0.563
All Right Now,Free,1970,0.221,0.787,0.472,-12.824,120.059,0.824
ABC,The Jackson 5,1970,0.486,0.715,0.678,-11.842,94.769,0.947
Friend of the Devil,Grateful Dead,1970,0.334,0.642,0.628,-12.849,103.317,0.893
Casey Jones - 2013 Remaster,Grateful Dead,1970,0.385,0.671,0.405,-10.052,99.678,0.828
Father And Son,Yusuf / Cat Stevens,1970,0.589,0.499,0.33,-11.467,135.993,0.395
I Walk the Line,Johnny Cash,1970,0.877,0.713,0.258,-14.59,98.805,0.56
Maybe Iâm Amazed - Remastered 2011,Paul McCartney,1970,0.387,0.471,0.494,-10.407,79.255,0.373
25 or 6 to 4 - 2002 Remaster,Chicago,1970,0.309,0.604,0.905,-7.059,147.448,0.723
Bridge Over Troubled Water,Simon & Garfunkel,1970,0.822,0.149,0.206,-13.888,79.764,0.264
Crazy Love - 2013 Remaster,Van Morrison,1970,0.841,0.575,0.188,-18.758,77.464,0.334
What Is Life - Remastered 2014,George Harrison,1970,0.00654,0.468,0.833,-5.847,131.248,0.884
Oh! Sweet Nuthin - 2015 Remaster,The Velvet Underground,1970,0.303,0.399,0.467,-11.763,75.601,0.525
The Boxer,Simon & Garfunkel,1970,0.702,0.439,0.488,-14.464,93.017,0.629
Lookin Out My Back Door,Creedence Clearwater Revival,1970,0.188,0.745,0.656,-6.393,105.318,0.858
American Woman,The Guess Who,1970,0.146,0.55,0.726,-8.51,92.697,0.37
Ripple - 2013 Remaster,Grateful Dead,1970,0.427,0.604,0.411,-14.258,126.637,0.675
Roadhouse Blues,The Doors,1970,0.336,0.623,0.633,-8.212,121.119,0.895
Run Through The Jungle,Creedence Clearwater Revival,1970,0.0474,0.641,0.612,-8.307,136.413,0.854
Oye Como Va,Santana,1970,0.301,0.736,0.379,-13.208,128.399,0.948
Ill Be There,The Jackson 5,1970,0.593,0.51,0.515,-7.247,93.212,0.331
Across The Universe - Remastered 2009,The Beatles,1970,0.361,0.257,0.412,-11.788,152.126,0.858
Teach Your Children,"Crosby, Stills, Nash & Young",1970,0.643,0.497,0.285,-14.537,154.7,0.667
Sweet Jane - Full Length Version; 2015 Remaster,The Velvet Underground,1970,0.015,0.619,0.637,-7.369,105.205,0.936
Move on Up,Curtis Mayfield,1970,0.417,0.538,0.969,-5.626,138.652,0.928
The Only Living Boy in New York,Simon & Garfunkel,1970,0.13,0.411,0.381,-12.361,76.963,0.524
Make It with You,Bread,1970,0.66,0.629,0.356,-11.135,83.886,0.472
And It Stoned Me - 2013 Remaster,Van Morrison,1970,0.35,0.593,0.468,-11.165,75.798,0.597
Hello Darlin,Conway Twitty,1970,0.94,0.276,0.235,-14.352,170.55,0.472
Wholl Stop The Rain,Creedence Clearwater Revival,1970,0.0424,0.598,0.797,-6.793,123.566,0.622
In the Summertime,Mungo Jerry,1970,0.724,0.754,0.449,-14.013,82.751,0.973
Mama Told Me (Not To Come) - Single Version,Three Dog Night,1970,0.373,0.673,0.673,-13.941,119.994,0.825
Tangerine - Remaster,Led Zeppelin,1970,0.0857,0.306,0.398,-12.767,85.622,0.0948
If You Could Read My Mind,Gordon Lightfoot,1970,0.745,0.612,0.24,-12.821,122.565,0.223
Domino - 1999 Remaster,Van Morrison,1970,0.321,0.731,0.555,-13.684,131.26,0.935
Peace Frog,The Doors,1970,0.16,0.641,0.725,-7.376,112.529,0.808
Strangers,The Kinks,1970,0.253,0.47,0.397,-9.337,128.69,0.487
Planet Caravan - 2012 - Remaster,Black Sabbath,1970,0.941,0.368,0.0595,-28.603,90.127,0.338
Its A Shame,The Spinners,1970,0.0947,0.372,0.642,-11.955,198.731,0.705
Truckin - 2013 Remaster,Grateful Dead,1970,0.389,0.644,0.623,-13.862,126.553,0.676
Hold On - Remastered 2010,John Lennon,1970,0.538,0.684,0.21,-18.204,83.383,0.681
Sweet Baby James - 2019 Remaster,James Taylor,1970,0.882,0.539,0.114,-20.575,141.378,0.608
Cracklin Rosie - Single Version,Neil Diamond,1970,0.319,0.562,0.503,-14.836,127.827,0.846
The Man in Me,Bob Dylan,1970,0.532,0.419,0.517,-9.368,145.109,0.905
(They Long To Be) Close To You,Carpenters,1970,0.707,0.533,0.245,-14.652,89.328,0.236
War,Edwin Starr,1970,0.0939,0.59,0.671,-12.484,109.333,0.736
Caravan - 2013 Remaster,Van Morrison,1970,0.294,0.641,0.397,-12.285,81.962,0.57
Funk #49,James Gang,1970,0.0398,0.652,0.94,-7.927,91.242,0.72
If Not For You - Remastered 2014,George Harrison,1970,0.219,0.607,0.755,-6.886,116.119,0.867
